Common Name,Scientific Name,Museum Counts,Citizen Science Counts
Long Dash,Polites Mystic,1,13
NoCommonName,Alypia octomaculata,NaN,21
Lace-winged Roadside-Skipper,Amblyscirtes Aesculapius,0,562
Northern Broken-dash,Wallengrenia Egeremet,3,438
Little Glassywing,Pompeius Verna,4,1410
Sachem,Atalopedes Campestris,10,4045
Dusky Roadside-Skipper,Amblyscirtes Alternata,0,51
Carolina Roadside-Skipper,Amblyscirtes Carolina,1,270
Reversed Roadside-Skipper,Amblyscirtes Reversa,0,121
Common Roadside-Skipper,Amblyscirtes Vialis,0,344
NoCommonName,Amolita fessa,NaN,10
NoCommonName,Amolita obliqua,NaN,13
NoCommonName,Amolita unidentified species,NaN,1
NoCommonName,Amphion floridensis,1,11
NoCommonName,Amphipyra pyramidoides,2,68
NoCommonName,Amydria brevipennella,NaN,1
NoCommonName,Amydria effrentella,0,7
NoCommonName,Amydria unidentified species,NaN,2
NoCommonName,Amyna axis,NaN,2
NoCommonName,Anacampsis conclusella,0,5
NoCommonName,Anacampsis coverdalella,0,6
NoCommonName,Anacampsis levipedella,NaN,1
Goatweed Leafwing,Anaea Andria,NaN,3
Pepper and Salt Skipper,Amblyscirtes Hegon,NaN,165
NoCommonName,Anageshna primordialis,2,22
NoCommonName,Anagrapha falcifera,0,4
NoCommonName,Anania coronata complex,NaN,1
NoCommonName,Anania plectilis,0,1
NoCommonName,Anarsioses aberrans,NaN,1
White Peacock,Anartia Jatrophae,NaN,17
NoCommonName,Anathix ralla,NaN,20
Delaware Skipper,Anatrytone Logan,2,655
NoCommonName,Ancylis albacostana,NaN,1
Ocola Skipper,Panoquina Ocola,0,2214
NoCommonName,Ancylis burgessiana,1,1
NoCommonName,Ancylis comptana,NaN,2
NoCommonName,Ancylis diminutana,NaN,2
NoCommonName,Ancylis divisana,0,9
NoCommonName,Ancylis fuscociliana,0,1
NoCommonName,Ancylis goodelliana,NaN,1
NoCommonName,Ancylis platanana,0,7
NoCommonName,Ancylis semiovana,NaN,1
NoCommonName,Ancylis unidentified species,NaN,4
Least Skipper,Ancyloxypha Numitor,5,2414
NoCommonName,Anicla illapsa,NaN,5
NoCommonName,Anicla infecta,4,48
NoCommonName,Anicla lubricans,1,3
NoCommonName,Anicla unidentified species,NaN,2
NoCommonName,Anisota peigleri,0,1
NoCommonName,Amorbia humerosana,0,12
NoCommonName,Anisota senatoria,1,18
NoCommonName,Pyromorpha dimidiata,0,54
NoCommonName,Anisota unidentified species,NaN,6
NoCommonName,Anomis erosa,NaN,5
NoCommonName,Antaeotricha decorosella,NaN,2
NoCommonName,Antaeotricha humilis,1,8
NoCommonName,Antaeotricha leucillana,0,6
NoCommonName,Antaeotricha schlaegeri,2,17
NoCommonName,Antaeotricha unidentified species,NaN,6
NoCommonName,Antaeotricha vestalis,NaN,1
NoCommonName,Antepione thisoaria,0,10
NoCommonName,Anterastria teratophora,NaN,1
Texan Crescent,Anthanassa Drusilla,NaN,3
NoCommonName,Anticarsia gemmatalis,0,45
NoCommonName,Anticlea multiferata,NaN,7
NoCommonName,Anticlea vasiliata,0,1
NoCommonName,Antispila cornifoliella,NaN,2
NoCommonName,Antispila nysaefoliella,NaN,1
Falcate Orangetip,Antocharis Midea,NaN,1625
NoCommonName,Apamea cariosa,NaN,3
NoCommonName,Apamea quinteri,NaN,1
NoCommonName,Apamea sordens,0,2
NoCommonName,Apamea vulgaris,NaN,1
NoCommonName,Apantesis carlotta,0,5
NoCommonName,Apantesis nais,2,20
NoCommonName,Apantesis unidentified species,NaN,9
NoCommonName,Apantesis vittata,2,22
NoCommonName,Apatelodes torrefacta,1,21
NoCommonName,Aphomia fulminalis,NaN,2
NoCommonName,Udea rubigalis,3,42
NoCommonName,Aphomia sociella,NaN,2
NoCommonName,Aphomia terrenella,NaN,2
NoCommonName,Aphomia unidentified species,NaN,1
NoCommonName,Apoda biguttata,2,27
NoCommonName,Apoda y-inversum,0,22
NoCommonName,Diaphania nitidalis,0,15
NoCommonName,Diaphania hyalinata,0,4
NoCommonName,Archips argyrospila,0,1
NoCommonName,Archips grisea,0,1
NoCommonName,Archips purpurana,0,1
NoCommonName,Argillophora furcilla,0,7
NoCommonName,Argyresthia alternatella,NaN,1
NoCommonName,Urola nivalis,0,17
NoCommonName,Argyresthia oreasella,NaN,6
NoCommonName,Argyresthia subreticulata,0,1
NoCommonName,Argyresthia thuiella,NaN,1
NoCommonName,Argyria auratella,0,1
NoCommonName,Argyria critica,0,4
NoCommonName,Dioryctria amatella,0,8
NoCommonName,Argyria lacteella,NaN,6
NoCommonName,Argyrogramma verruca,1,13
NoCommonName,Pseudothyatira cymatophoroides,1,4
NoCommonName,Argyrostrotis anilis,0,4
NoCommonName,Argyrostrotis flavistriaria,0,2
NoCommonName,Argyrotaenia alisellana,1,13
NoCommonName,Heliomata cycladata,0,14
NoCommonName,Argyrotaenia hodgesi,NaN,1
NoCommonName,Argyrotaenia kimballi,0,1
NoCommonName,Argyrotaenia mariana,0,1
NoCommonName,Argyrotaenia quercifoliana,1,14
NoCommonName,Argyrotaenia tabulana,0,18
NoCommonName,Argyrotaenia velutinana,NaN,44
NoCommonName,Aristotelia fungivorella,NaN,1
NoCommonName,Aristotelia lespedezae,NaN,2
NoCommonName,Aristotelia roseosuffusella,0,15
NoCommonName,Aristotelia rubidella,NaN,5
NoCommonName,Aristotelia unidentified species,NaN,3
NoCommonName,Aroga unidentified species,NaN,1
NoCommonName,Macaria multilineata,5,57
NoCommonName,Arogalea cristifasciella,0,23
NoCommonName,Arta olivalis,NaN,2
NoCommonName,Arta statalis,NaN,15
NoCommonName,Artace cribrarius,NaN,50
NoCommonName,Arugisa latiorella,2,1
NoCommonName,Arugisa lutea,NaN,34
NoCommonName,Ascalapha odorata,1,8
Great Southern White,Ascia Monuste,NaN,6
Hackberry Emperor,Asterocampa Celtis,4,1356
Tawny Emperor,Asterocampa Clyton,NaN,571
NoCommonName,Atascosa glareosella,NaN,1
NoCommonName,Ategumia ebulealis,NaN,1
NoCommonName,Athetis tarda,0,70
NoCommonName,Exelis pyrolaria,0,18
Great Purple Hairstreak,Atlides Halesus,2,440
Arogos Skipper,Atrytone Arogos,0,22
Dusted Skipper,Atrytonopsis Hianna,2,264
Loammi Skipper,Atrytonopsis Loammi,NaN,6
Crystal Skipper,Atrytonopsis Quinteri,0,120
NoCommonName,Atteva aurea,7,55
Golden Banded-Skipper,Autochton Cellus,0,67
NoCommonName,Anavitrinella pampinaria,7,100
NoCommonName,Autographa precationis,2,21
NoCommonName,Ectropis crepuscularia,0,72
NoCommonName,Autosticha kyotensis,0,17
NoCommonName,Azenia obtusa,NaN,17
NoCommonName,Malacosoma americana,NaN,40
NoCommonName,Bactra furfurana,NaN,1
NoCommonName,Bagisara rectifascia,NaN,1
NoCommonName,Baileya australis,NaN,19
NoCommonName,Biston betularia,0,7
NoCommonName,Baileya dormitans,1,18
NoCommonName,Hypagyrtis unipunctata,2,118
NoCommonName,Baileya doubledayi,NaN,3
NoCommonName,Baileya levitans,1,15
NoCommonName,Baileya ophthalmica,0,46
NoCommonName,Balsa labecula,NaN,13
NoCommonName,Balsa malana,1,5
NoCommonName,Balsa tristrigella,0,8
NoCommonName,Basilodes pepita,0,15
NoCommonName,Battaristis nigratomella,0,3
NoCommonName,Battaristis vittella,NaN,7
Pipevine Swallowtail,Battus Philenor,13,2236
NoCommonName,Bellura densa,1,4
NoCommonName,Bellura obliqua,NaN,5
NoCommonName,Besma endropiaria,0,4
NoCommonName,Besma quercivoraria,3,72
NoCommonName,Blastobasis glandulella,NaN,5
NoCommonName,Blastobasis pulchella,NaN,1
NoCommonName,Blastobasis unidentified species,NaN,5
NoCommonName,Blepharomastix ranalis,0,16
NoCommonName,Bleptina caradrinalis,1,56
NoCommonName,Campaea perlata,0,16
NoCommonName,Bleptina inferior,1,21
NoCommonName,Bleptina sangamonia,NaN,2
Meadow Fritillary,Boloria Bellona,0,689
NoCommonName,Brenthia pavonacella,NaN,3
NoCommonName,Bucculatrix ainsliella,NaN,1
NoCommonName,Bucculatrix angustata,NaN,1
NoCommonName,Bucculatrix coronatella,NaN,5
NoCommonName,Bucculatrix ivella,NaN,2
NoCommonName,Bucculatrix unidentified species,NaN,1
NoCommonName,Cabnia myronella,NaN,1
NoCommonName,Cacotherapia unipuncta,NaN,1
NoCommonName,Metarranthis obfirmaria,0,12
NoCommonName,Cepphis decoloraria,0,7
NoCommonName,Cepphis armataria,4,2
NoCommonName,Cadra cautella,NaN,1
NoCommonName,Caenurgia chloropha,4,59
NoCommonName,Caenurgina crassiuscula,3,7
NoCommonName,Mathildana newmanella,NaN,2
NoCommonName,Caenurgina erechtea,NaN,18
NoCommonName,Caenurgina unidentified species,NaN,1
NoCommonName,Calledapteryx dryopterata,0,36
Brown Elfin,Callophrys Augustinus,NaN,328
Juniper Hairstreak,Callophrys Gryneus,16,646
Henrys Elfin,Callophrys Henrici,0,521
Hessels Hairstreak,Callophrys Hesseli,0,102
Frosted Elfin,Callophrys Irus,NaN,88
Eastern Pine Elfin,Callophrys Niphon,4,273
NoCommonName,Callopistria cordata,1,8
NoCommonName,Plagodis kuetzingi,0,2
NoCommonName,Callopistria floridensis,NaN,11
NoCommonName,Plagodis fervidaria,0,38
NoCommonName,Callopistria mollissima,0,8
NoCommonName,Callosamia promethea,0,9
NoCommonName,Callosamia securifera,8,1
NoCommonName,Caloptilia azaleella,NaN,4
NoCommonName,Caloptilia bimaculatella,NaN,4
NoCommonName,Caloptilia blandella,NaN,4
NoCommonName,Caloptilia cornusella,NaN,1
NoCommonName,Caloptilia hypericella,NaN,1
NoCommonName,Caloptilia ostryaeella,NaN,5
NoCommonName,Caloptilia packardella,NaN,1
NoCommonName,Caloptilia rhoifoliella,NaN,3
NoCommonName,Caloptilia sassafrasella,NaN,2
NoCommonName,Oneida lunulalis,2,17
NoCommonName,Caloptilia stigmatella,NaN,2
NoCommonName,Caloptilia superbifrontella,NaN,1
NoCommonName,Caloptilia triadicae,NaN,1
NoCommonName,Caloptilia unidentified species,NaN,2
NoCommonName,Caloptilia violacella,NaN,7
Brazilian Skipper,Calpodes Ethlius,0,156
Red-banded Hairstreak,Calycopis Cecrops,0,2935
NoCommonName,Cameraria aesculisella,NaN,1
NoCommonName,Cameraria bethunella,NaN,2
