SourceCategory,Genus.Species.curated,Observations
museum,Pheidole.dentigula,249
field,Pheidole.diversipilosa,11
museum,Pheidole.diversipilosa,6
field,Pheidole.flavens,62
museum,Pheidole.flavens,14
museum,Pheidole.lamia,4
field,Pheidole.littoralis,4
museum,Pheidole.littoralis,27
field,Pheidole.megacephala,6
museum,Pheidole.megacephala,25
field,Pheidole.metallescens,47
museum,Pheidole.metallescens,80
field,Pheidole.morrisii,39
museum,Pheidole.morrisii,141
field,Pheidole.navigans,524
museum,Pheidole.navigans,357
field,Pheidole.obscurithorax,5
museum,Pheidole.obscurithorax,19
field,Pheidole.tysoni,1
museum,Pheidole.tysoni,4
museum,Pheidole.vorax,1
field,Platythyrea.punctata,19
museum,Platythyrea.punctata,39
field,Pogonomyrmex.badius,41
museum,Pogonomyrmex.badius,205
museum,Polyergus.longicornis,4
museum,Polyergus.montivagus,3
museum,Polyergus.oligergus,11
field,Ponera.exotica,35
museum,Ponera.exotica,13
field,Ponera.pennsylvanica,31
museum,Ponera.pennsylvanica,19
field,Prenolepis.imparis,21
museum,Prenolepis.imparis,57
field,Prionopelta.antillana,33
museum,Prionopelta.antillana,67
museum,Proceratium.chickasaw,3
museum,Proceratium.crassicorne,2
museum,Proceratium.creek,3
field,Proceratium.croceum,4
museum,Proceratium.croceum,10
field,Proceratium.pergandei,9
museum,Proceratium.pergandei,30
field,Proceratium.silaceum,8
museum,Proceratium.silaceum,33
field,Pseudoponera.stigma,30
museum,Pseudoponera.stigma,25
field,Solenopsis.diplo,3123
museum,Solenopsis.diplo,786
field,Solenopsis.geminata,66
museum,Solenopsis.geminata,144
field,Solenopsis.globularia,20
museum,Solenopsis.globularia,30
field,Solenopsis.invicta,169
museum,Solenopsis.invicta,389
museum,Solenopsis.xyloni,5
museum,Stenamma.foveolocephalum,2
field,Stenamma.impar,2
field,Stigmatomma.pallipes,75
museum,Stigmatomma.pallipes,71
field,Strumigenys.abdita,1
museum,Strumigenys.abdita,3
field,Strumigenys.angulata,3
museum,Strumigenys.angulata,8
museum,Strumigenys.apalachicolensis,4
field,Strumigenys.archboldi,9
museum,Strumigenys.archboldi,23
field,Strumigenys.boltoni,3
museum,Strumigenys.boltoni,5
field,Strumigenys.brevisetosa,8
museum,Strumigenys.brevisetosa,11
field,Strumigenys.bunki,5
museum,Strumigenys.bunki,18
field,Strumigenys.carolinensis,2
museum,Strumigenys.carolinensis,8
field,Strumigenys.cloydi,1
museum,Strumigenys.cloydi,2
field,Strumigenys.clypeata,80
museum,Strumigenys.clypeata,66
field,Strumigenys.creightoni,34
museum,Strumigenys.creightoni,11
field,Strumigenys.deyrupi,33
museum,Strumigenys.deyrupi,3
field,Strumigenys.dietrichi,66
museum,Strumigenys.dietrichi,59
field,Strumigenys.eggersi,849
museum,Strumigenys.eggersi,162
field,Strumigenys.emmae,367
museum,Strumigenys.emmae,131
field,Strumigenys.gundlachi,51
museum,Strumigenys.gundlachi,19
field,Strumigenys.hexamera,1
museum,Strumigenys.hexamera,3
museum,Strumigenys.hyalina,1
field,Strumigenys.laevinasis,1
museum,Strumigenys.laevinasis,3
field,Strumigenys.lanuginosa,5
museum,Strumigenys.lanuginosa,5
field,Strumigenys.louisianae,299
museum,Strumigenys.louisianae,215
field,Strumigenys.margaritae,2
museum,Strumigenys.margaritae,5
field,Strumigenys.membranifera,82
museum,Strumigenys.membranifera,99
museum,Strumigenys.metazytes,1
field,Strumigenys.missouriensis,1
museum,Strumigenys.missouriensis,6
field,Strumigenys.ornata,247
museum,Strumigenys.ornata,159
field,Strumigenys.pilinasis,10
museum,Strumigenys.pilinasis,24
field,Strumigenys.pulchella,11
museum,Strumigenys.pulchella,24
field,Strumigenys.reflexa,7
museum,Strumigenys.reflexa,10
field,Strumigenys.rogeri,221
museum,Strumigenys.rogeri,67
field,Strumigenys.rostrata,33
museum,Strumigenys.rostrata,21
field,Strumigenys.silvestrii,5
museum,Strumigenys.silvestrii,7
field,Strumigenys.talpa,256
museum,Strumigenys.talpa,187
field,Strumigenys.wrayi,1
museum,Strumigenys.wrayi,2
field,Tapinoma.litorale,5
museum,Tapinoma.litorale,42
field,Tapinoma.melanocephalum,37
museum,Tapinoma.melanocephalum,91
field,Tapinoma.sessile,9
museum,Tapinoma.sessile,20
field,Technomyrmex.difficilis,9
museum,Technomyrmex.difficilis,40
field,Temnothorax.curvispinosus,8
museum,Temnothorax.curvispinosus,11
museum,Temnothorax.palustris,17
field,Temnothorax.pergandei,43
museum,Temnothorax.pergandei,77
field,Temnothorax.texanus,14
museum,Temnothorax.texanus,38
field,Temnothorax.torrei,16
museum,Temnothorax.torrei,14
field,Tetramorium.bicarinatum,15
museum,Tetramorium.bicarinatum,38
field,Tetramorium.caldarium,8
museum,Tetramorium.caldarium,53
museum,Tetramorium.guineense,1
museum,Tetramorium.immigrans,4
field,Tetramorium.lanuginosum,1
museum,Tetramorium.lanuginosum,1
field,Tetramorium.simillimum,65
museum,Tetramorium.simillimum,55
field,Trachymyrmex.jamaicensis,2
museum,Trachymyrmex.jamaicensis,5
field,Trachymyrmex.septentrionalis,65
museum,Trachymyrmex.septentrionalis,190
museum,Trichomyrmex.destructor,3
field,Wasmannia.auropunctata,325
museum,Wasmannia.auropunctata,105
