Common Name,Scientific Name,Museum Counts,Citizen Science Counts
Dusky RoadsideSkipper,Amblyscirtes Alternata,0,51
Carolina RoadsideSkipper,Amblyscirtes Carolina,1,270
Reversed RoadsideSkipper,Amblyscirtes Reversa,0,121
Common RoadsideSkipper,Amblyscirtes Vialis,0,344
NoCommonName,Amolita fessa,0,10
NoCommonName,Amolita obliqua,0,13
NoCommonName,Amolita unidentified species,0,1
NoCommonName,Amphion floridensis,1,11
NoCommonName,Amphipyra pyramidoides,2,68
NoCommonName,Amydria brevipennella,0,1
NoCommonName,Amydria effrentella,0,7
NoCommonName,Amydria unidentified species,0,2
NoCommonName,Amyna axis,0,2
NoCommonName,Anacampsis conclusella,0,5
NoCommonName,Anacampsis coverdalella,0,6
NoCommonName,Anacampsis levipedella,0,1
Goatweed Leafwing,Anaea Andria,0,3
Pepper and Salt Skipper,Amblyscirtes Hegon,0,165
NoCommonName,Anageshna primordialis,2,22
NoCommonName,Anagrapha falcifera,0,4
NoCommonName,Anania coronata complex,0,1
NoCommonName,Anania plectilis,0,1
NoCommonName,Anarsioses aberrans,0,1
White Peacock,Anartia Jatrophae,0,17
NoCommonName,Anathix ralla,0,20
Delaware Skipper,Anatrytone Logan,2,655
NoCommonName,Ancylis albacostana,0,1
Ocola Skipper,Panoquina Ocola,0,2214
NoCommonName,Ancylis burgessiana,1,1
NoCommonName,Ancylis comptana,0,2
NoCommonName,Ancylis diminutana,0,2
NoCommonName,Ancylis divisana,0,9
NoCommonName,Ancylis fuscociliana,0,1
NoCommonName,Ancylis goodelliana,0,1
NoCommonName,Ancylis platanana,0,7
NoCommonName,Ancylis semiovana,0,1
NoCommonName,Ancylis unidentified species,0,4
Least Skipper,Ancyloxypha Numitor,5,2414
NoCommonName,Anicla illapsa,0,5
NoCommonName,Anicla infecta,4,48
NoCommonName,Anicla lubricans,1,3
NoCommonName,Anicla unidentified species,0,2
NoCommonName,Anisota peigleri,0,1
NoCommonName,Amorbia humerosana,0,12
NoCommonName,Anisota senatoria,1,18
NoCommonName,Pyromorpha dimidiata,0,54
NoCommonName,Anisota unidentified species,0,6
NoCommonName,Anomis erosa,0,5
NoCommonName,Antaeotricha decorosella,0,2
NoCommonName,Antaeotricha humilis,1,8
NoCommonName,Antaeotricha leucillana,0,6
NoCommonName,Antaeotricha schlaegeri,2,17
NoCommonName,Antaeotricha unidentified species,0,6
NoCommonName,Antaeotricha vestalis,0,1
NoCommonName,Antepione thisoaria,0,10
NoCommonName,Anterastria teratophora,0,1
Texan Crescent,Anthanassa Drusilla,0,3
NoCommonName,Anticarsia gemmatalis,0,45
NoCommonName,Anticlea multiferata,0,7
NoCommonName,Anticlea vasiliata,0,1
NoCommonName,Antispila cornifoliella,0,2
NoCommonName,Antispila nysaefoliella,0,1
Falcate Orangetip,Antocharis Midea,0,1625
NoCommonName,Apamea cariosa,0,3
NoCommonName,Apamea quinteri,0,1
NoCommonName,Apamea sordens,0,2
NoCommonName,Apamea vulgaris,0,1
NoCommonName,Apantesis carlotta,0,5
NoCommonName,Apantesis nais,2,20
NoCommonName,Apantesis unidentified species,0,9
NoCommonName,Apantesis vittata,2,22
NoCommonName,Apatelodes torrefacta,1,21
NoCommonName,Aphomia fulminalis,0,2
NoCommonName,Udea rubigalis,3,42
NoCommonName,Aphomia sociella,0,2
NoCommonName,Aphomia terrenella,0,2
NoCommonName,Aphomia unidentified species,0,1
NoCommonName,Apoda biguttata,2,27
NoCommonName,Apoda yinversum,0,22
NoCommonName,Diaphania nitidalis,0,15
NoCommonName,Diaphania hyalinata,0,4
NoCommonName,Archips argyrospila,0,1
NoCommonName,Archips grisea,0,1
NoCommonName,Archips purpurana,0,1
NoCommonName,Argillophora furcilla,0,7
NoCommonName,Argyresthia alternatella,0,1
NoCommonName,Urola nivalis,0,17
NoCommonName,Argyresthia oreasella,0,6
NoCommonName,Argyresthia subreticulata,0,1
NoCommonName,Argyresthia thuiella,0,1
NoCommonName,Argyria auratella,0,1
NoCommonName,Argyria critica,0,4
NoCommonName,Dioryctria amatella,0,8
NoCommonName,Argyria lacteella,0,6
NoCommonName,Argyrogramma verruca,1,13
NoCommonName,Pseudothyatira cymatophoroides,1,4
NoCommonName,Argyrostrotis anilis,0,4
NoCommonName,Argyrostrotis flavistriaria,0,2
NoCommonName,Argyrotaenia alisellana,1,13
NoCommonName,Heliomata cycladata,0,14
NoCommonName,Argyrotaenia hodgesi,0,1
NoCommonName,Argyrotaenia kimballi,0,1
NoCommonName,Argyrotaenia mariana,0,1
NoCommonName,Argyrotaenia quercifoliana,1,14
NoCommonName,Argyrotaenia tabulana,0,18
NoCommonName,Argyrotaenia velutinana,0,44
NoCommonName,Aristotelia fungivorella,0,1
NoCommonName,Aristotelia lespedezae,0,2
NoCommonName,Aristotelia roseosuffusella,0,15
NoCommonName,Aristotelia rubidella,0,5
NoCommonName,Aristotelia unidentified species,0,3
NoCommonName,Aroga unidentified species,0,1
NoCommonName,Macaria multilineata,5,57
NoCommonName,Arogalea cristifasciella,0,23
NoCommonName,Arta olivalis,0,2
NoCommonName,Arta statalis,0,15
NoCommonName,Artace cribrarius,0,50
NoCommonName,Arugisa latiorella,2,1
NoCommonName,Arugisa lutea,0,34
NoCommonName,Ascalapha odorata,1,8
Great Southern White,Ascia Monuste,0,6
Hackberry Emperor,Asterocampa Celtis,4,1356
Tawny Emperor,Asterocampa Clyton,2,571
NoCommonName,Atascosa glareosella,0,1
NoCommonName,Ategumia ebulealis,0,1
NoCommonName,Athetis tarda,0,70
NoCommonName,Exelis pyrolaria,0,18
Great Purple Hairstreak,Atlides Halesus,2,440
Arogos Skipper,Atrytone Arogos,0,22
Dusted Skipper,Atrytonopsis Hianna,2,264
Loammi Skipper,Atrytonopsis Loammi,0,6
Crystal Skipper,Atrytonopsis Quinteri,0,120
NoCommonName,Atteva aurea,7,55
Golden BandedSkipper,Autochton Cellus,0,67
NoCommonName,Anavitrinella pampinaria,7,100
NoCommonName,Autographa precationis,2,21
NoCommonName,Ectropis crepuscularia,0,72
NoCommonName,Autosticha kyotensis,0,17
NoCommonName,Azenia obtusa,0,17
NoCommonName,Malacosoma americana,0,40
NoCommonName,Bactra furfurana,0,1
NoCommonName,Bagisara rectifascia,0,1
NoCommonName,Baileya australis,0,19
NoCommonName,Biston betularia,0,7
NoCommonName,Baileya dormitans,1,18
NoCommonName,Hypagyrtis unipunctata,2,118
NoCommonName,Baileya doubledayi,0,3
NoCommonName,Baileya levitans,1,15
NoCommonName,Baileya ophthalmica,0,46
NoCommonName,Balsa labecula,0,13
NoCommonName,Balsa malana,1,5
NoCommonName,Balsa tristrigella,0,8
NoCommonName,Basilodes pepita,0,15
NoCommonName,Battaristis nigratomella,0,3
NoCommonName,Battaristis vittella,0,7
Pipevine Swallowtail,Battus Philenor,13,2236
NoCommonName,Bellura densa,1,4
NoCommonName,Bellura obliqua,0,5
NoCommonName,Besma endropiaria,0,4
NoCommonName,Besma quercivoraria,3,72
NoCommonName,Blastobasis glandulella,0,5
NoCommonName,Blastobasis pulchella,0,1
NoCommonName,Blastobasis unidentified species,0,5
NoCommonName,Blepharomastix ranalis,0,16
NoCommonName,Bleptina caradrinalis,1,56
NoCommonName,Campaea perlata,0,16
NoCommonName,Bleptina inferior,1,21
NoCommonName,Bleptina sangamonia,0,2
Meadow Fritillary,Boloria Bellona,0,689
NoCommonName,Brenthia pavonacella,0,3
NoCommonName,Bucculatrix ainsliella,0,1
NoCommonName,Bucculatrix angustata,0,1
NoCommonName,Bucculatrix coronatella,0,5
NoCommonName,Bucculatrix ivella,0,2
NoCommonName,Bucculatrix unidentified species,0,1
NoCommonName,Cabnia myronella,0,1
NoCommonName,Cacotherapia unipuncta,0,1
NoCommonName,Metarranthis obfirmaria,0,12
NoCommonName,Cepphis decoloraria,0,7
NoCommonName,Cepphis armataria,4,2
NoCommonName,Cadra cautella,0,1
NoCommonName,Caenurgia chloropha,4,59
NoCommonName,Caenurgina crassiuscula,3,7
NoCommonName,Mathildana newmanella,0,2
NoCommonName,Caenurgina erechtea,0,18
NoCommonName,Caenurgina unidentified species,0,1
NoCommonName,Calledapteryx dryopterata,0,36
Brown Elfin,Callophrys Augustinus,0,328
Juniper Hairstreak,Callophrys Gryneus,16,646
Henrys Elfin,Callophrys Henrici,0,521
Hessels Hairstreak,Callophrys Hesseli,0,102
Frosted Elfin,Callophrys Irus,0,88
Eastern Pine Elfin,Callophrys Niphon,4,273
NoCommonName,Callopistria cordata,1,8
NoCommonName,Plagodis kuetzingi,0,2
